,parcelid,bedroomcnt,taxvaluedollarcnt,calculatedfinishedsquarefeet,taxamount
0,11289917,3.0,136104.0,1458.0,2319.9
1,11705026,2.0,35606.0,1421.0,543.69
2,11389003,3.0,614000.0,1650.0,7673.19
3,11967869,2.0,274237.0,693.0,3267.47
4,12035176,1.0,245906.0,812.0,2926.19
5,11552513,3.0,486866.0,1108.0,5990.5
6,12535098,3.0,388478.0,1947.0,4784.07
7,11391577,2.0,31839.0,1061.0,412.48
8,12814323,3.0,499402.0,1632.0,5921.67
9,10976131,3.0,151340.0,2768.0,2373.63
10,12057023,3.0,845708.0,2392.0,9310.38
11,13067643,2.0,284000.0,1204.0,3931.85
12,11187927,3.0,130679.0,1088.0,2228.31
13,11367981,3.0,164685.0,1191.0,2169.02
14,11312124,3.0,168626.0,1358.0,3107.95
15,10858360,2.0,501000.0,1173.0,6060.61
16,12607366,2.0,277000.0,727.0,3186.6
17,12532988,2.0,348734.0,1401.0,4161.1
18,13071085,4.0,397616.0,2291.0,5284.09
19,13083743,3.0,259334.0,1050.0,3345.78
20,12492881,3.0,73054.0,1569.0,1206.4
21,11141309,2.0,142745.0,829.0,2199.66
22,11083106,3.0,308910.0,1522.0,3741.38
23,12749741,3.0,82374.0,1285.0,1315.15
24,12048224,3.0,466127.0,1260.0,5151.64
25,10871677,3.0,206623.0,1102.0,2601.94
26,11056104,3.0,404060.0,1572.0,4934.43
27,11503172,4.0,245311.0,3041.0,2963.65
28,11993956,3.0,649169.0,1692.0,8063.11
29,11054736,4.0,89640.0,1611.0,1144.73
30,11206210,2.0,124006.0,1078.0,2290.48
31,12563708,3.0,58143.0,1476.0,881.04
32,11206381,3.0,174459.0,1732.0,3028.09
33,12482839,4.0,300777.0,1622.0,3912.97
34,11143684,4.0,446709.0,1733.0,6046.06
35,12682557,3.0,667918.0,1592.0,7664.37
36,10924250,3.0,352291.0,1448.0,4275.09
37,10885672,4.0,85677.0,1344.0,1104.82
38,12484642,3.0,444000.0,1122.0,5548.73
39,12739947,2.0,529000.0,1445.0,6692.25
40,11513448,5.0,8000000.0,3540.0,83955.53
41,12846559,4.0,710674.0,2610.0,8752.83
42,11514144,2.0,1440000.0,1899.0,15374.31
43,12614763,3.0,130161.0,1641.0,1666.61
44,11177387,3.0,342383.0,1933.0,4586.81
45,11206504,3.0,211886.0,2149.0,3441.14
46,10827194,4.0,82375.0,1576.0,1046.08
47,11173415,2.0,177000.0,843.0,2624.61
48,12599517,2.0,476000.0,1190.0,5499.77
49,11289836,4.0,194600.0,1700.0,3099.72
50,11288389,4.0,87378.0,1591.0,1964.11
51,11166665,3.0,465989.0,1530.0,6345.94
52,10957128,3.0,443008.0,1205.0,4865.23
53,11287385,4.0,121927.0,1370.0,2231.08
54,11612893,2.0,780000.0,1487.0,9412.54
55,12792562,3.0,240173.0,1692.0,3042.5
56,12594775,2.0,286000.0,969.0,3648.21
57,10867744,6.0,397335.0,4105.0,5138.06
